_id,AREA_NAME,HOOD_ID,ASSAULT_2025,ASSAULT_RATE_2025,AUTOTHEFT_2025,AUTOTHEFT_RATE_2025,BREAKENTER_2025,BREAKENTER_RATE_2025,HOMICIDE_2025,HOMICIDE_RATE_2025,ROBBERY_2025,ROBBERY_RATE_2025,SHOOTING_2025,SHOOTING_RATE_2025,THEFTFROMMV_2025,THEFTFROMMV_RATE_2025,THEFTOVER_2025,THEFTOVER_RATE_2025,POPULATION_2025
142,Etobicoke West Mall,13,68,468.577728271484,29,199.834625244141,16,110.25358581543,0,0.0,4,27.5633964538574,0,0.0,26,179.162078857422,2,13.7816982269287,14512
143,Markland Wood,12,38,332.254974365234,20,174.871032714844,28,244.819442749023,0,0.0,11,96.179069519043,0,0.0,25,218.588790893555,11,96.179069519043,11437
144,Eringate-Centennial-West Deane,11,79,393.308776855469,47,233.99382019043,22,109.529022216797,0,0.0,6,29.8715515136719,2,9.957184108334163,23,114.507614135742,5,24.8929595947266,20086
145,Princess-Rosethorn,10,30,241.138168334961,23,184.872604370117,48,385.821075439453,0,0.0,10,80.37939453125,0,0.0,16,128.607025146484,11,88.4173278808594,12441
146,Edenbridge-Humber Valley,9,57,306.831024169922,43,231.469024658203,45,242.235015869141,0,0.0,10,53.830005645752,0,0.0,11,59.213005065918,9,48.4470062255859,18577
147,Humber Heights-Westmount,8,46,405.643737792969,25,220.458557128906,13,114.638450622559,0,0.0,10,88.1834182739258,1,8.818342151675486,10,88.1834182739258,4,35.2733688354492,11340
148,Willowridge-Martingrove-Richview,7,95,375.419891357422,82,324.046630859375,31,122.505432128906,0,0.0,13,51.3732452392578,0,0.0,35,138.312591552734,19,75.0839767456055,25305
149,Kingsview Village-The Westway,6,152,632.832336425781,71,295.599304199219,28,116.574378967285,0,0.0,10,41.6337051391602,0,0.0,35,145.717971801758,5,20.8168525695801,24019
150,Elms-Old Rexdale,5,81,802.536437988281,49,485.484985351563,16,158.52571105957,0,0.0,14,138.709991455078,2,19.815713861091844,16,158.52571105957,4,39.6314277648926,10093
151,Rexdale-Kipling,4,80,718.713500976563,37,332.404998779297,19,170.694458007813,0,0.0,14,125.774864196777,1,8.98391878537418,21,188.662292480469,7,62.8874320983887,11131
152,Thistletown-Beaumond Heights,3,68,623.73876953125,35,321.042022705078,11,100.898918151855,0,0.0,17,155.934692382813,2,18.3452577508714,16,146.762054443359,5,45.8631439208984,10902
153,Mount Olive-Silverstone-Jamestown,2,272,788.588684082031,95,275.426177978516,19,55.0852355957031,1,2.8992230082337933,37,107.27124786377,7,20.294561057636553,45,130.465042114258,9,26.0930061340332,34492
154,West Humber-Clairville,1,349,933.00537109375,494,1320.64379882813,130,347.537841796875,1,2.673367908891622,57,152.381973266602,10,26.73367908891622,204,545.367065429688,92,245.949844360352,37406
155,Black Creek,24,280,1204.19750976563,60,258.042327880859,22,94.6155166625977,0,0.0,12,51.6084632873535,8,34.40564252537416,39,167.727508544922,11,47.3077583312988,23252
156,Pelmo Park-Humberlea,23,78,616.552062988281,47,371.512145996094,15,118.56770324707,1,7.904513477195478,9,71.140625,2,15.809026954390957,29,229.230895996094,11,86.9496459960938,12651
157,Humbermede,22,194,990.857543945313,86,439.246124267578,33,168.547927856445,0,0.0,14,71.5051803588867,3,15.322539455539099,22,112.365287780762,14,71.5051803588867,19579
158,Humber Summit,21,135,1031.79455566406,88,672.577209472656,52,397.431976318359,0,0.0,25,191.073059082031,4,30.57169061449098,37,282.788146972656,25,191.073059082031,13084
